ClaimNo,TransactionDate,Action,CaseReserve,Payment
1607,2009-10-10,PMT,-11418.19813,11418.19813
1607,2010-05-03,PMT,-3586.836819,3586.836819
1607,2010-06-30,RES,0,0
1607,2010-12-29,INT90,0,0
1607,2011-06-30,RES,0,0
1607,2011-09-26,PMT,-8833.622262,8833.622262
1608,2003-12-15,RPT,1898.298468,0
1608,2004-06-30,RES,0,0
1608,2004-11-08,INT40,0,0
1608,2005-06-30,RES,0,0
1608,2005-07-13,INT70,0,0
1608,2005-12-24,INT90,0,0
1608,2006-03-16,PMT,-1898.298468,1898.298468
1609,2003-11-23,RPT,5976.005498,0
1609,2003-11-29,INT40,0,0
1609,2003-12-03,INT70,0,0
1609,2003-12-06,INT90,0,0
1609,2003-12-07,PMT,-5976.005498,5976.005498
1610,2003-11-01,RPT,11194.26525,0
1610,2004-06-30,RES,0,0
1610,2005-06-30,RES,0,0
1610,2005-10-21,PMT,-1753.739358,1753.739358
1610,2006-03-02,INT40,0,0
1610,2006-06-30,RES,0,0
1610,2007-06-30,RES,0,0
1610,2007-12-02,INT70,0,0
1610,2008-06-30,RES,0,0
1610,2009-01-31,INT90,0,0
1610,2009-02-06,PMT,-1268.973053,1268.973053
1610,2009-04-23,PMT,-1733.317973,1733.317973
1610,2009-06-30,RES,0,0
1610,2009-09-01,PMT,-6438.234862,6438.234862
1611,2004-01-01,RPT,3053.202594,0
1611,2004-06-30,RES,0,0
1611,2005-06-30,RES,0,0
1611,2006-06-30,RES,0,0
1611,2006-11-09,INT40,0,0
1611,2007-06-30,RES,0,0
1611,2007-08-29,PMT,-535.3297951,535.3297951
1611,2008-06-30,RES,0,0
1611,2008-12-31,INT70,0,0
1611,2009-06-30,RES,0,0
1611,2010-06-06,INT90,0,0
1611,2010-06-30,RES,0,0
1611,2011-02-21,PMT,-2517.872799,2517.872799
1612,2003-11-15,RPT,9521.699971,0
1612,2003-12-31,PMT,-4073.244202,4073.244202
1612,2004-06-30,RES,0,0
1612,2005-06-06,PMT,-2063.80709,2063.80709
1612,2005-06-30,RES,0,0
1612,2006-03-26,INT40,0,0
1612,2006-05-05,PMT,-2798.456039,2798.456039
1612,2006-06-30,RES,0,0
1612,2007-06-30,RES,0,0
1612,2008-01-01,INT70,0,0
1612,2008-06-30,RES,0,0
1612,2009-03-07,INT90,0,0
1612,2009-06-30,RES,0,0
1612,2009-10-08,PMT,-586.1926398,586.1926398
1613,2004-02-03,RPT,12327.05614,0
1613,2004-06-30,RES,0,0
1613,2004-07-01,PMT,-801.826493,801.826493
1613,2005-06-30,RES,0,0
1613,2006-06-30,RES,0,0
1613,2007-02-11,PMT,-2241.469605,2241.469605
1613,2007-06-30,RES,0,0
1613,2008-04-19,INT40,0,0
1613,2008-05-13,PMT,-826.2004425,826.2004425
1613,2008-06-30,RES,0,0
1613,2009-06-30,RES,0,0
1613,2010-06-30,RES,0,0
1613,2011-06-15,INT70,0,0
1613,2011-06-30,RES,0,0
1613,2012-06-30,RES,0,0
1613,2013-06-30,RES,0,0
1613,2013-07-01,PMT,-3713.274757,3713.274757
1613,2013-07-23,INT90,0,0
1613,2014-06-30,RES,0,0
1613,2014-08-10,PMT,-4744.284839,4744.284839
1614,2003-11-10,RPT,4716.293191,0
1614,2004-06-30,RES,0,0
1614,2005-06-30,RES,0,0
1614,2006-06-30,RES,0,0
1614,2006-10-04,INT40,0,0
1614,2007-06-30,RES,0,0
1614,2008-06-30,RES,0,0
1614,2008-12-06,INT70,0,0
1614,2009-06-30,RES,0,0
1614,2010-05-19,INT90,0,0
1614,2010-06-11,PMT,-4427.431933,4427.431933
1614,2010-06-30,RES,0,0
1614,2011-02-08,PMT,-288.8612578,288.8612578
1615,2003-12-03,RPT,2539.403744,0
1615,2004-06-20,INT40,0,0
1615,2004-06-30,RES,0,0
1615,2004-11-17,INT70,0,0
1615,2005-02-25,INT90,0,0
1615,2005-04-15,PMT,-2539.403744,2539.403744
1616,2004-01-14,RPT,9691.148404,0
1616,2004-06-30,RES,0,0
1616,2005-06-30,RES,0,0
1616,2006-06-30,RES,0,0
1616,2006-09-18,INT40,0,0
1616,2007-06-30,RES,0,0
1616,2008-02-06,PMT,-8536.709973,8536.709973
1616,2008-06-30,RES,0,0
1616,2008-09-20,INT70,0,0
1616,2009-06-30,RES,0,0
1616,2010-01-22,INT90,0,0
1616,2010-06-30,RES,0,0
1616,2010-09-23,PMT,-1154.438431,1154.438431
1617,2004-04-19,RPT,51874.39541,0
1617,2004-06-30,RES,0,0
1617,2005-05-27,PMT,-24743.06235,24743.06235
1617,2005-06-30,RES,0,0
1617,2005-09-15,PMT,-4562.920656,4562.920656
1617,2005-12-13,PMT,-7305.693393,7305.693393
1617,2006-06-30,RES,0,0
1617,2007-03-25,INT40,0,0
1617,2007-06-30,RES,0,0
1617,2008-06-30,RES,0,0
1617,2009-06-05,INT70,0,0
1617,2009-06-30,RES,0,0
1617,2009-11-18,PMT,-1161.337961,1161.337961
1617,2010-06-30,RES,0,0
1617,2010-11-22,INT90,0,0
1617,2011-06-30,RES,0,0
1617,2011-08-16,PMT,-14101.38104,14101.38104
1618,2004-04-19,RPT,7147.136911,0
1618,2004-06-30,RES,0,0
1618,2005-06-30,RES,0,0
1618,2006-06-30,RES,0,0
1618,2007-01-09,INT40,0,0
1618,2007-06-30,RES,0,0
1618,2008-06-30,RES,0,0
1618,2009-01-25,INT70,0,0
1618,2009-06-30,RES,0,0
1618,2010-06-06,INT90,0,0
1618,2010-06-30,RES,0,0
1618,2011-02-09,PMT,-7147.136911,7147.136911
1619,2003-10-22,RPT,12413.8595,0
1619,2004-06-30,RES,0,0
1619,2005-06-30,RES,0,0
1619,2006-06-30,RES,0,0
1619,2006-09-01,PMT,-5577.11359,5577.11359
1619,2007-06-30,RES,0,0
1619,2008-01-17,INT40,0,0
1619,2008-06-30,RES,0,0
1619,2008-10-13,PMT,-990.2309565,990.2309565
1619,2009-06-30,RES,0,0
1619,2010-02-05,PMT,-3120.802414,3120.802414
1619,2010-06-30,RES,0,0
1619,2011-03-22,INT70,0,0
1619,2011-06-30,RES,0,0
1619,2012-06-30,RES,0,0
1619,2013-05-04,INT90,0,0
1619,2013-06-30,RES,0,0
1619,2014-03-03,PMT,-582.2850159,582.2850159
1619,2014-05-25,PMT,-2143.42752,2143.42752
1620,2004-05-10,RPT,2165.367184,0
1620,2004-06-30,RES,0,0
1620,2005-06-30,RES,0,0
1620,2006-06-30,RES,0,0
1620,2006-09-03,INT40,0,0
1620,2007-06-30,RES,0,0
1620,2008-05-29,INT70,0,0
1620,2008-06-30,RES,0,0
1620,2009-06-30,RES,0,0
1620,2009-07-26,INT90,0,0
1620,2009-09-25,PMT,-1236.061566,1236.061566
1620,2010-02-22,PMT,-929.3056177,929.3056177
1621,2003-11-07,RPT,1961.568056,0
1621,2004-01-25,INT40,0,0
1621,2004-02-20,PMT,-1609.084537,1609.084537
1621,2004-03-23,INT70,0,0
1621,2004-05-02,INT90,0,0
1621,2004-05-21,PMT,-352.4835192,352.4835192
1622,2003-12-13,RPT,1892.032285,0
1622,2004-06-30,RES,0,0
1622,2004-07-19,INT40,0,0
1622,2004-12-30,INT70,0,0
1622,2005-04-18,INT90,0,0
1622,2005-06-12,PMT,-1892.032285,1892.032285
1623,2004-02-17,RPT,21506.14254,0
1623,2004-06-30,RES,0,0
1623,2004-11-10,INT40,0,0
1623,2005-01-19,PMT,-5601.60646,5601.60646
1623,2005-05-29,INT70,0,0
1623,2005-06-30,RES,0,0
1623,2005-07-28,PMT,-11438.81185,11438.81185
1623,2005-10-09,INT90,0,0
1623,2005-12-15,PMT,-4465.724226,4465.724226
1624,2004-02-23,RPT,10373.28398,0
1624,2004-03-03,PMT,-7637.337214,7637.337214
1624,2004-06-14,INT40,0,0
1624,2004-06-30,RES,0,0
1624,2004-09-05,INT70,0,0
1624,2004-10-31,INT90,0,0
1624,2004-11-27,PMT,-2735.946762,2735.946762
1625,2004-02-17,RPT,3884.272218,0
1625,2004-06-30,RES,0,0
1625,2005-06-30,RES,0,0
1625,2005-07-21,INT40,0,0
1625,2006-06-30,RES,0,0
1625,2006-08-16,INT70,0,0
1625,2007-05-03,INT90,0,0
1625,2007-06-30,RES,0,0
1625,2007-09-09,PMT,-3884.272218,3884.272218
1626,2003-12-26,RPT,5522.38437,0
1626,2004-06-30,RES,0,0
1626,2004-09-23,INT40,0,0
1626,2005-04-15,INT70,0,0
1626,2005-06-30,RES,0,0
1626,2005-08-30,INT90,0,0
1626,2005-11-05,PMT,-5522.38437,5522.38437
1627,2003-12-27,RPT,8625.351678,0
1627,2004-06-30,RES,0,0
1627,2004-09-02,INT40,0,0
1627,2004-09-29,PMT,-3574.814457,3574.814457
1627,2005-03-08,INT70,0,0
1627,2005-06-15,PMT,-1728.680127,1728.680127
1627,2005-06-30,RES,0,0
1627,2005-07-11,INT90,0,0
1627,2005-09-11,PMT,-3321.857093,3321.857093
1628,2004-02-26,RPT,4210.657088,0
1628,2004-06-06,PMT,-1644.845155,1644.845155
1628,2004-06-30,RES,0,0
1628,2004-11-09,INT40,0,0
1628,2005-05-21,INT70,0,0
1628,2005-06-30,RES,0,0
1628,2005-09-27,INT90,0,0
1628,2005-11-29,PMT,-2565.811933,2565.811933
1629,2004-04-30,RPT,6241.019181,0
1629,2004-06-30,RES,0,0
1629,2005-06-30,RES,0,0
1629,2006-01-25,INT40,0,0
1629,2006-06-30,RES,0,0
1629,2007-05-17,INT70,0,0
1629,2007-06-30,RES,0,0
1629,2007-07-07,PMT,-5209.948073,5209.948073
1629,2008-03-30,INT90,0,0
1629,2008-06-30,RES,0,0
1629,2008-09-04,PMT,-1031.071107,1031.071107
1630,2004-07-19,RPT,1144.560555,0
1630,2004-09-07,INT40,0,0
1630,2004-10-14,INT70,0,0
1630,2004-11-08,INT90,0,0
1630,2004-11-20,PMT,-1144.560555,1144.560555
1631,2004-01-09,RPT,4123.438638,0
1631,2004-06-30,RES,0,0
1631,2004-07-13,INT40,0,0
1631,2004-11-30,INT70,0,0
1631,2005-03-03,INT90,0,0
1631,2005-04-18,PMT,-4123.438638,4123.438638
1632,2004-07-06,RPT,516.8926544,0
1632,2005-06-30,RES,0,0
1632,2006-06-30,RES,0,0
1632,2006-07-27,INT40,0,0
1632,2007-06-30,RES,0,0
1632,2008-02-11,INT70,0,0
1632,2008-06-30,RES,0,0
1632,2009-02-21,INT90,0,0
1632,2009-06-30,RES,0,0
1632,2009-08-27,PMT,-516.8926544,516.8926544
1633,2003-12-23,RPT,4620.293449,0
1633,2004-06-30,RES,0,0
1633,2004-10-30,INT40,0,0
1633,2005-06-21,INT70,0,0
1633,2005-06-30,RES,0,0
1633,2005-11-24,INT90,0,0
1633,2006-02-10,PMT,-4620.293449,4620.293449
1634,2004-03-11,RPT,5048.450872,0
1634,2004-06-12,PMT,-137.8073945,137.8073945
1634,2004-06-30,RES,0,0
1634,2005-06-30,RES,0,0
1634,2006-01-07,INT40,0,0
1634,2006-06-30,RES,0,0
1634,2007-05-23,INT70,0,0
1634,2007-06-30,RES,0,0
1634,2008-04-20,INT90,0,0
1634,2008-06-30,RES,0,0
1634,2008-10-03,PMT,-4910.643477,4910.643477
1635,2004-02-17,RPT,1731.007345,0
1635,2004-05-14,INT40,0,0
1635,2004-06-30,RES,0,0
1635,2004-07-18,INT70,0,0
1635,2004-08-30,INT90,0,0
1635,2004-09-20,PMT,-1731.007345,1731.007345
1636,2004-07-29,RPT,3776.424354,0
1636,2005-05-08,INT40,0,0
1636,2005-06-30,RES,0,0
1636,2005-08-12,PMT,-1751.056768,1751.056768
1636,2005-12-06,INT70,0,0
1636,2006-04-27,INT90,0,0
1636,2006-06-30,RES,0,0
1636,2006-07-06,PMT,-2025.367586,2025.367586
1637,2004-02-21,RPT,44935.95876,0
1637,2004-06-30,RES,0,0
1637,2004-07-25,PMT,-3251.896975,3251.896975
1637,2005-06-30,RES,0,0
1637,2005-11-10,PMT,-16215.20134,16215.20134
1637,2006-01-14,PMT,-4954.870979,4954.870979
1637,2006-06-30,RES,0,0
1637,2007-06-03,INT40,0,0
1637,2007-06-30,RES,0,0
1637,2007-08-13,PMT,-2241.559654,2241.559654
1637,2008-02-12,PMT,-3242.876675,3242.876675
1637,2008-04-28,PMT,-14539.69655,14539.69655
1637,2008-06-30,RES,0,0
1637,2009-06-30,RES,0,0
1637,2009-11-17,INT70,0,0
1637,2010-06-30,RES,0,0
1637,2011-06-30,RES,0,0
1637,2011-07-09,INT90,0,0
1637,2012-05-03,PMT,-489.8565958,489.8565958
1638,2004-06-29,RPT,6224.402911,0
1638,2004-06-30,RES,0,0
1638,2005-06-30,RES,0,0
1638,2006-06-30,RES,0,0
1638,2006-11-11,INT40,0,0
1638,2007-01-30,PMT,-3847.932625,3847.932625
1638,2007-06-30,RES,0,0
1638,2008-06-30,RES,0,0
1638,2008-08-20,INT70,0,0
1638,2009-06-30,RES,0,0
1638,2009-10-26,INT90,0,0
1638,2010-05-30,PMT,-2376.470285,2376.470285
1639,2003-12-03,RPT,19495.01127,0
1639,2003-12-27,PMT,-7155.075412,7155.075412
1639,2004-06-30,RES,0,0
1639,2004-11-03,INT40,0,0
1639,2005-03-08,PMT,-5100.297829,5100.297829
1639,2005-06-30,RES,0,0
1639,2005-07-13,INT70,0,0
1639,2005-12-28,INT90,0,0
1639,2006-03-22,PMT,-7239.638026,7239.638026
1640,2003-12-19,RPT,23811.91507,0
1640,2004-02-17,PMT,-1664.639316,1664.639316
1640,2004-06-30,RES,0,0
1640,2004-11-19,PMT,-4326.025669,4326.025669
1640,2005-04-27,INT40,0,0
1640,2005-06-30,RES,0,0
1640,2005-07-14,PMT,-4304.804663,4304.804663
1640,2005-08-05,PMT,-4576.970844,4576.970844
1640,2006-05-03,INT70,0,0
1640,2006-06-30,RES,0,0
1640,2006-12-19,PMT,-3943.56057,3943.56057
1640,2007-01-06,INT90,0,0
1640,2007-05-09,PMT,-4995.914004,4995.914004
1641,2004-02-04,RPT,15060.28217,0
1641,2004-06-30,RES,0,0
1641,2005-06-04,PMT,-4604.899248,4604.899248
1641,2005-06-30,RES,0,0
1641,2005-10-13,INT40,0,0
1641,2006-01-27,PMT,-8928.735427,8928.735427
1641,2006-06-30,RES,0,0
1641,2007-01-18,INT70,0,0
1641,2007-06-30,RES,0,0
1641,2007-11-23,INT90,0,0
1641,2008-04-24,PMT,-1526.647499,1526.647499
1642,2004-02-10,RPT,5987.462576,0
1642,2004-05-30,INT40,0,0
1642,2004-06-30,RES,0,0
1642,2004-07-19,PMT,-5440.621123,5440.621123
1642,2004-08-21,INT70,0,0
1642,2004-10-15,INT90,0,0
1642,2004-11-11,PMT,-546.8414528,546.8414528
1643,2005-02-17,RPT,39145.52107,0
1643,2005-06-30,RES,0,0
1643,2006-06-30,RES,0,0
1643,2007-06-30,RES,0,0
1643,2008-06-29,PMT,-5084.513712,5084.513712
1643,2008-06-30,RES,0,0
1643,2008-09-26,PMT,-1961.612854,1961.612854
1643,2008-12-22,INT40,0,0
1643,2009-06-30,RES,0,0
1643,2010-06-30,RES,0,0
1643,2011-06-30,RES,0,0
1643,2011-11-10,INT70,0,0
1643,2012-06-30,RES,0,0
1643,2013-02-01,PMT,-8318.117357,8318.117357
1643,2013-06-30,RES,0,0
1643,2013-10-13,INT90,0,0
1643,2014-04-28,PMT,-4077.040566,4077.040566
1643,2014-06-30,RES,0,0
1643,2014-09-28,PMT,-19704.23658,19704.23658
1644,2004-02-04,RPT,14750.43454,0
1644,2004-06-30,RES,0,0
1644,2005-06-30,RES,0,0
1644,2005-12-09,PMT,-10365.21769,10365.21769
1644,2006-06-30,RES,0,0
1644,2007-06-30,RES,0,0
1644,2007-12-28,INT40,0,0
1644,2008-06-30,RES,0,0
1644,2009-06-30,RES,0,0
1644,2010-06-30,RES,0,0
1644,2010-11-29,INT70,0,0
1644,2011-05-06,PMT,-633.6256597,633.6256597
1644,2011-06-30,RES,0,0
1644,2012-06-30,RES,0,0
1644,2012-11-10,INT90,0,0
1644,2013-06-30,RES,0,0
1644,2013-10-31,PMT,-3751.591189,3751.591189
1645,2004-03-22,RPT,2888.470184,0
1645,2004-05-14,INT40,0,0
1645,2004-06-23,INT70,0,0
1645,2004-06-30,RES,0,0
1645,2004-07-20,INT90,0,0
1645,2004-08-02,PMT,-2888.470184,2888.470184
1646,2003-11-26,RPT,782.6136193,0
1646,2004-06-30,RES,0,0
1646,2005-06-30,RES,0,0
1646,2006-01-24,INT40,0,0
1646,2006-06-30,RES,0,0
1646,2007-06-30,RES,0,0
1646,2007-09-08,INT70,0,0
1646,2008-06-30,RES,0,0
1646,2008-10-07,INT90,0,0
1646,2009-04-22,PMT,-782.6136193,782.6136193
1647,2003-12-05,RPT,11393.72309,0
1647,2004-02-15,PMT,-1501.745442,1501.745442
1647,2004-06-30,RES,0,0
1647,2004-11-25,PMT,-187.3364352,187.3364352
1647,2005-06-30,RES,0,0
1647,2006-06-30,RES,0,0
1647,2007-06-07,PMT,-3065.729497,3065.729497
1647,2007-06-30,RES,0,0
1647,2008-01-26,INT40,0,0
1647,2008-06-01,PMT,-2626.620126,2626.620126
1647,2008-06-30,RES,0,0
1647,2009-06-30,RES,0,0
1647,2010-06-30,RES,0,0
1647,2011-03-05,INT70,0,0
1647,2011-06-30,RES,0,0
1647,2012-06-30,RES,0,0
1647,2013-03-30,INT90,0,0
1647,2013-06-30,RES,0,0
1647,2013-09-13,PMT,-2919.89416,2919.89416
1647,2014-04-12,PMT,-1092.397425,1092.397425
1648,2004-01-11,RPT,669.8833354,0
1648,2004-04-11,INT40,0,0
1648,2004-06-18,INT70,0,0
1648,2004-06-30,RES,0,0
1648,2004-07-30,PMT,-258.781518,258.781518
1648,2004-08-02,INT90,0,0
1648,2004-08-24,PMT,-411.1018174,411.1018174
1649,2003-12-04,RPT,782.8452714,0
1649,2003-12-17,INT40,0,0
1649,2003-12-27,INT70,0,0
1649,2004-01-03,INT90,0,0
1649,2004-01-05,PMT,-782.8452714,782.8452714
1650,2004-03-15,RPT,2088.138153,0
1650,2004-06-30,RES,0,0
1650,2005-02-27,INT40,0,0
1650,2005-06-30,RES,0,0
1650,2005-11-16,INT70,0,0
1650,2006-05-10,INT90,0,0
1650,2006-06-30,RES,0,0
1650,2006-08-04,PMT,-2088.138153,2088.138153
1651,2003-11-27,RPT,1335.817317,0
1651,2003-12-20,INT40,0,0
1651,2004-01-06,INT70,0,0
1651,2004-01-17,INT90,0,0
1651,2004-01-22,PMT,-1335.817317,1335.817317
1652,2003-12-26,RPT,25415.86312,0
1652,2004-06-30,RES,0,0
1652,2004-12-07,PMT,-10735.1232,10735.1232
1652,2005-06-30,RES,0,0
1652,2006-06-07,PMT,-2805.250746,2805.250746
1652,2006-06-30,RES,0,0
1652,2007-06-30,RES,0,0
1652,2007-12-12,INT40,0,0
1652,2008-06-30,RES,0,0
1652,2009-06-30,RES,0,0
1652,2010-05-20,PMT,-1744.751513,1744.751513
1652,2010-06-30,RES,0,0
1652,2010-12-01,INT70,0,0
1652,2011-06-30,RES,0,0
1652,2012-01-11,PMT,-1413.942292,1413.942292
1652,2012-06-30,RES,0,0
1652,2012-11-23,INT90,0,0
1652,2013-02-07,PMT,-5419.69482,5419.69482
1652,2013-06-30,RES,0,0
1652,2013-11-19,PMT,-3297.100547,3297.100547
1653,2004-03-21,RPT,707.2566818,0
1653,2004-06-09,INT40,0,0
1653,2004-06-30,RES,0,0
1653,2004-08-09,INT70,0,0
1653,2004-09-18,INT90,0,0
1653,2004-10-07,PMT,-707.2566818,707.2566818
1654,2004-01-02,RPT,12990.79533,0
1654,2004-06-30,RES,0,0
1654,2005-06-30,RES,0,0
1654,2006-04-13,INT40,0,0
1654,2006-06-30,RES,0,0
1654,2007-06-30,RES,0,0
1654,2007-12-27,INT70,0,0
1654,2008-02-12,PMT,-2962.188729,2962.188729
1654,2008-06-30,RES,0,0
1654,2008-07-16,PMT,-8449.955771,8449.955771
1654,2009-02-15,INT90,0,0
1654,2009-06-30,RES,0,0
1654,2009-09-10,PMT,-1578.650833,1578.650833
1655,2004-02-25,RPT,27635.4883,0
1655,2004-06-30,RES,0,0
1655,2005-05-13,INT40,0,0
1655,2005-05-23,PMT,-9686.629505,9686.629505
1655,2005-06-30,RES,0,0
1655,2006-04-10,INT70,0,0
1655,2006-06-30,RES,0,0
1655,2006-10-30,PMT,-9359.024799,9359.024799
1655,2006-11-17,INT90,0,0
1655,2007-01-06,PMT,-1859.150874,1859.150874
1655,2007-03-07,PMT,-6730.683125,6730.683125
1656,2004-02-14,RPT,1808.503926,0
1656,2004-06-30,RES,0,0
1656,2005-06-30,RES,0,0
1656,2006-05-07,INT40,0,0
1656,2006-06-30,RES,0,0
1656,2007-06-30,RES,0,0
1656,2008-01-06,INT70,0,0
1656,2008-06-30,RES,0,0
1656,2009-02-15,INT90,0,0
1656,2009-06-30,RES,0,0
1656,2009-09-06,PMT,-1808.503926,1808.503926
1657,2004-01-15,RPT,13359.75541,0
1657,2004-06-30,RES,0,0
1657,2005-04-01,INT40,0,0
1657,2005-06-30,RES,0,0
1657,2006-02-27,INT70,0,0
1657,2006-06-30,RES,0,0
1657,2006-10-06,INT90,0,0
1657,2007-01-21,PMT,-4328.554976,4328.554976
1657,2007-01-24,PMT,-9031.20043,9031.20043
1658,2004-03-01,RPT,14456.48729,0
1658,2004-06-30,RES,0,0
1658,2005-04-20,PMT,-12862.13541,12862.13541
1658,2005-06-30,RES,0,0
1658,2006-06-30,RES,0,0
1658,2007-02-14,INT40,0,0
1658,2007-06-30,RES,0,0
1658,2008-06-30,RES,0,0
1658,2009-05-04,INT70,0,0
1658,2009-06-30,RES,0,0
1658,2010-06-30,RES,0,0
1658,2010-10-26,INT90,0,0
1658,2011-06-30,RES,0,0
1658,2011-07-23,PMT,-1594.351881,1594.351881
1659,2004-01-10,RPT,2740.371751,0
1659,2004-06-30,RES,0,0
1659,2004-11-02,INT40,0,0
1659,2005-06-13,INT70,0,0
1659,2005-06-30,RES,0,0
1659,2005-11-09,INT90,0,0
1659,2006-01-22,PMT,-2740.371751,2740.371751
1660,2004-09-08,RPT,4068.808677,0
1660,2004-12-15,INT40,0,0
1660,2005-02-26,INT70,0,0
1660,2005-04-16,INT90,0,0
1660,2005-05-10,PMT,-4068.808677,4068.808677
1661,2003-11-08,RPT,10327.03636,0
1661,2003-11-23,PMT,-1399.816473,1399.816473
1661,2004-06-30,RES,0,0
1661,2005-05-06,INT40,0,0
1661,2005-05-14,PMT,-7134.373247,7134.373247
1661,2005-06-30,RES,0,0
1661,2006-06-19,INT70,0,0
1661,2006-06-30,RES,0,0
1661,2007-03-19,INT90,0,0
1661,2007-06-30,RES,0,0
1661,2007-08-02,PMT,-1792.846641,1792.846641
1662,2003-11-19,RPT,15535.33669,0
1662,2004-06-30,RES,0,0
1662,2005-06-30,RES,0,0
1662,2006-06-30,RES,0,0
1662,2007-06-30,RES,0,0
1662,2008-06-30,RES,0,0
1662,2009-01-20,PMT,-2570.375473,2570.375473
1662,2009-03-19,INT40,0,0
1662,2009-06-30,RES,0,0
1662,2010-06-30,RES,0,0
1662,2011-02-05,PMT,-1034.861529,1034.861529
1662,2011-06-30,RES,0,0
1662,2012-06-30,RES,0,0
1662,2013-03-18,INT70,0,0
1662,2013-06-30,RES,0,0
1662,2014-05-03,PMT,-4011.721515,4011.721515
1662,2014-06-30,RES,0,0
1662,2014-07-08,PMT,-377.7177413,377.7177413
1662,2015-06-30,RES,0,0
1662,2015-11-16,INT90,0,0
1662,2016-06-30,RES,0,0
1662,2016-11-03,PMT,-4999.979777,4999.979777
1662,2017-03-16,PMT,-2540.680659,2540.680659
1663,2003-12-25,RPT,1720.016802,0
1663,2004-04-30,INT40,0,0
1663,2004-06-30,RES,0,0
1663,2004-08-03,INT70,0,0
1663,2004-10-06,INT90,0,0
1663,2004-11-06,PMT,-1720.016802,1720.016802
1664,2003-12-02,RPT,3899.93855,0
1664,2003-12-03,PMT,-1717.724208,1717.724208
1664,2004-05-18,INT40,0,0
1664,2004-06-30,RES,0,0
1664,2004-09-22,INT70,0,0
1664,2004-12-15,INT90,0,0
1664,2005-01-25,PMT,-2182.214342,2182.214342
1665,2004-02-12,RPT,2249.076157,0
1665,2004-06-30,RES,0,0
1665,2004-08-30,INT40,0,0
1665,2005-01-27,INT70,0,0
1665,2005-05-07,INT90,0,0
1665,2005-06-26,PMT,-2249.076157,2249.076157
1666,2005-04-18,RPT,5099.847128,0
1666,2005-05-11,INT40,0,0
1666,2005-05-28,INT70,0,0
1666,2005-06-09,INT90,0,0
1666,2005-06-14,PMT,-5099.847128,5099.847128
1667,2004-01-08,RPT,5120.786698,0
1667,2004-06-30,RES,0,0
1667,2004-07-06,INT40,0,0
1667,2004-11-19,INT70,0,0
1667,2005-02-17,INT90,0,0
1667,2005-04-03,PMT,-5120.786698,5120.786698
1668,2003-12-07,RPT,8296.34367,0
1668,2004-06-30,RES,0,0
1668,2005-06-30,RES,0,0
1668,2006-05-04,INT40,0,0
1668,2006-06-30,RES,0,0
1668,2007-06-30,RES,0,0
1668,2008-01-26,PMT,-2737.906236,2737.906236
1668,2008-02-22,INT70,0,0
1668,2008-06-30,RES,0,0
1668,2009-05-07,INT90,0,0
1668,2009-06-30,RES,0,0
1668,2009-12-12,PMT,-5558.437434,5558.437434
1669,2004-01-18,RPT,7036.98286,0
1669,2004-06-30,RES,0,0
1669,2005-03-31,INT40,0,0
1669,2005-06-30,RES,0,0
1669,2006-02-23,INT70,0,0
1669,2006-06-30,RES,0,0
1669,2006-09-30,INT90,0,0
1669,2007-01-17,PMT,-7036.98286,7036.98286
1670,2003-12-15,RPT,7443.830227,0
1670,2004-06-30,RES,0,0
1670,2004-09-13,PMT,-755.291877,755.291877
1670,2005-06-20,INT40,0,0
1670,2005-06-30,RES,0,0
1670,2006-06-30,RES,0,0
1670,2006-08-08,INT70,0,0
1670,2007-05-11,INT90,0,0
1670,2007-06-30,RES,0,0
1670,2007-09-26,PMT,-6688.53835,6688.53835
1671,2004-07-10,RPT,18978.09351,0
1671,2005-02-09,PMT,-4061.110709,4061.110709
1671,2005-06-30,RES,0,0
1671,2006-06-30,RES,0,0
1671,2007-05-30,PMT,-1972.355523,1972.355523
1671,2007-06-30,RES,0,0
1671,2008-01-11,INT40,0,0
1671,2008-02-02,PMT,-6285.097092,6285.097092
1671,2008-06-30,RES,0,0
1671,2009-06-30,RES,0,0
1671,2010-06-30,RES,0,0
1671,2010-08-29,INT70,0,0
1671,2011-06-30,RES,0,0
1671,2012-05-30,INT90,0,0
1671,2012-06-30,RES,0,0
1671,2013-04-14,PMT,-6659.530183,6659.530183
1672,2004-03-24,RPT,1974.632456,0
1672,2004-06-30,RES,0,0
1672,2005-02-02,INT40,0,0
1672,2005-06-30,RES,0,0
1672,2005-09-26,INT70,0,0
1672,2006-03-02,INT90,0,0
1672,2006-05-19,PMT,-1974.632456,1974.632456
1673,2004-04-13,RPT,4165.843761,0
1673,2004-06-30,RES,0,0
1673,2005-05-19,INT40,0,0
1673,2005-06-30,RES,0,0
1673,2006-03-15,INT70,0,0
1673,2006-06-30,RES,0,0
1673,2006-10-01,INT90,0,0
1673,2007-01-09,PMT,-4165.843761,4165.843761
1674,2004-01-28,RPT,3066.240463,0
1674,2004-06-30,RES,0,0
1674,2005-06-30,RES,0,0
1674,2006-03-15,INT40,0,0
1674,2006-06-30,RES,0,0
1674,2007-06-30,RES,0,0
1674,2007-10-18,INT70,0,0
1674,2008-04-02,PMT,-1161.551516,1161.551516
1674,2008-06-30,RES,0,0
1674,2008-11-09,INT90,0,0
1674,2009-05-22,PMT,-1904.688947,1904.688947
1675,2003-12-17,RPT,5263.242897,0
